contents,lower_contents
 How about Marvin?, how about marvin?
 how about that woman that jumped into the jaguar exhibit in Arizona today. Bold move, how about that woman that jumped into the jaguar exhibit in arizona today. bold move
 how about you?, how about you?
 how are you?, how are you?
 How can you laugh!? This is serious busines!, how can you laugh!? this is serious busines!
 how do we get rid of the mafia??, how do we get rid of the mafia??
 how do we vote?, how do we vote?
 How do you know that, how do you know that
 How does this work , how does this work 
 how else could you know who to pick, how else could you know who to pick
 How is everyone today?, how is everyone today?
 How is everyone?, how is everyone?
 How is everyone?, how is everyone?
 how is mafia, how is mafia
 How is that funny?, how is that funny?
 How many of us are there?, how many of us are there?
 How many women mafioso do you know?, how many women mafioso do you know?
 how so?, how so?
 How to chose??, how to chose??
 how we voting?, how we voting?
 howdy, howdy
 Howdy y'all, howdy y'all
 How's it going, how's it going
 hull, hull
" Hull or Frank, maybe?"," hull or frank, maybe?"
 hxcbv, hxcbv
 hy, hy
 I, i
 i', i'
 I agree, i agree
 I agree, i agree
 I agree, i agree
 i agree, i agree
 I agree, i agree
 I agree i will so luis, i agree i will so luis
 I agree to eliminate Mary, i agree to eliminate mary
 i agree with kim, i agree with kim
 i agree with ruben, i agree with ruben
 I agree., i agree.
 I agree. Let's eliminate Natalie., i agree. let's eliminate natalie.
 I agree. Matthew is, i agree. matthew is
 i already voted for Scott, i already voted for scott
 I am, i am
 I am a bystander, i am a bystander
 I am a bystander though since I lead the John lynch., i am a bystander though since i lead the john lynch.
 i am a bystander too., i am a bystander too.
 I am a bystander. dont kill me, i am a bystander. dont kill me
 I am also a bystander, i am also a bystander
 i am also kelly, i am also kelly
 I am guessing Harold., i am guessing harold.
 I am not mafia. , i am not mafia. 
 I am not!, i am not!
 I AM NOW SURE ON THIS ONW, i am now sure on this onw
 I am the mafia, i am the mafia
 i am too, i am too
" I am voting out John, sorry John Thompson had to do it ;]"," i am voting out john, sorry john thompson had to do it ;]"
 i asked if we got him cause i thought we won, i asked if we got him cause i thought we won
 I assumed it was a male, i assumed it was a male
 i barra going to beat you up, i barra going to beat you up
 I be dead, i be dead
 I believe Jay Williams, i believe jay williams
 I believe Tyrone, i believe tyrone
 I believe we all have differently ordered lists, i believe we all have differently ordered lists
 I bet elizabeth did it. Just look at that evil laugh. Just sayin., i bet elizabeth did it. just look at that evil laugh. just sayin.
 I can second that, i can second that
 I can't believe how many of them there are!, i can't believe how many of them there are!
 I can't read, i can't read
 I can't say no, i can't say no
 i can't tell, i can't tell
" I can't vote for myself, but that's not bad. I'll give you moral support."," i can't vote for myself, but that's not bad. i'll give you moral support."
 I couldnt , i couldnt 
 I did, i did
 I did not thinking I could be next!!!, i did not thinking i could be next!!!
 I did the first round purely because it sounded Mafia like but I'm observing who hasn't voted proven mafia now, i did the first round purely because it sounded mafia like but i'm observing who hasn't voted proven mafia now
 I didn't notice the time was so low., i didn't notice the time was so low.
 I didn't though, i didn't though
 I dindu nuffin, i dindu nuffin
 I do not fear death only life, i do not fear death only life
 I don't even want to type them all., i don't even want to type them all.
 I don't know, i don't know
 I don't know, i don't know
 I don't know how anyone's sure of anything, i don't know how anyone's sure of anything
 I don't know lol...we are supposed to eliminate somebody, i don't know lol...we are supposed to eliminate somebody
 I don't konw, i don't konw
" I don't like Alicia Randall, she seems to try to ply herself off."," i don't like alicia randall, she seems to try to ply herself off."
" I dont play blend in games, if you wanna vote me out, go ahead"," i dont play blend in games, if you wanna vote me out, go ahead"
" I don't really understand how we're supposed to know who to vote for, I just chose Bryce Fields at random.."," i don't really understand how we're supposed to know who to vote for, i just chose bryce fields at random.."
 i don't remember even selecting anybody, i don't remember even selecting anybody
 I don't see her name, i don't see her name
 I don't see him on here conversing , i don't see him on here conversing 
 I don't see Kendra Craig responding, i don't see kendra craig responding
 I don't think it matters who we pick for the first night really since we don't know anything, i don't think it matters who we pick for the first night really since we don't know anything
 I don't think michelle has talked either, i don't think michelle has talked either
 I don't trust James, i don't trust james
 I don't understand this at all, i don't understand this at all
 I doubt he's still watching, i doubt he's still watching
 I dream of Curtis?, i dream of curtis?
 i feel bad., i feel bad.
 I feel endangered, i feel endangered
 I feel so bad for justin, i feel so bad for justin
 I feel the same, i feel the same
 I felt Nathan was too pushy, i felt nathan was too pushy
 I forgive him., i forgive him.
 I go with my gut instinct, i go with my gut instinct
